source,target,cost
4646,1635,7.8085650434716305
1757,4452,7.587732297276689
2070,2849,5.904861317902614
3251,3730,12.21880896826132
2489,1631,10.202318012397276
2816,1015,4.4942164721505815
1348,4611,9.532684911220931
3087,2839,7.536661704543886
335,4592,5.766458060985327
895,3546,10.711860806327046
851,1687,6.43711059916393
1931,3746,9.412836785786789
2427,1568,6.184011658893035
4000,2738,8.006576050889834
3498,3913,6.7177711943244525
1066,4380,8.255345682294255
2444,4107,11.525019954272572
3373,3969,8.606264625582337
2546,753,5.073017996565394
2082,2774,10.205199908273112
2896,4185,7.954120398050296
775,1625,6.360957168981791
3069,417,6.98278707865369
114,616,6.086106902138708
3974,3267,11.937450956603076
825,1516,3.820127189961107
3146,412,7.874421501111833
728,3348,9.578459512043098
2808,675,7.127149577664627
3465,2504,8.140214170322853
2967,2786,8.502688678962393
1122,4079,7.7522620071858475
1571,2143,7.95107045724274
1687,4132,8.129112516729661
3851,3440,4.2370606058949924
3766,2326,7.863731260113093
2914,4968,7.16532811959979
3952,595,7.660564372646552
728,1365,8.924314829164343
4492,698,9.415692646224798
395,4171,7.248549793850642
4360,2502,6.789262689457724
1819,717,9.7990727536337
2782,4946,12.233155881103537
3577,143,7.232343550583759
4980,3140,7.345677463954304
4491,2938,8.860921393804533
3636,3222,6.92265208261285
1167,2616,7.055108976478745
1062,2156,6.859068152914652
2982,3294,7.506025456941238
4729,1156,11.383733466322322
732,4330,8.547622203249087
4846,953,7.6914651942619745
2539,3324,7.058687318252163
3301,1542,6.654736165844753
1191,2993,5.959359576903392
2681,1217,8.377713528837196
1540,3236,7.066568922633564
2386,3719,8.291229182127228
1388,1856,6.1844921464586
1365,499,8.563129045427035
1680,510,7.662224814071187
4312,1324,7.175173407396633
1155,1827,7.524147358494497
3141,3486,4.678661521711149
1810,2923,8.060790165762308
2214,4186,9.0683432789254
713,3602,9.575498754758463
4134,3522,9.529289260204376
4268,4748,9.353328542776078
4849,1243,7.520213149199603
3709,1081,6.345034215617735
455,4924,8.885057549218022
894,1384,4.608192086130292
1958,3072,6.195121301011881
1996,4285,6.9334715670301925
504,1214,6.56607073898253
1531,3440,10.879553763303857
823,928,7.2345749883223816
133,2105,4.055310382728208
3627,4780,9.760788267265866
1852,4910,9.903395624972948
4175,2933,9.44269340654558
3284,4298,8.231946602637043
2811,1250,9.043700424527984
3512,1256,7.787872292315891
3376,3486,7.18583052640161
3584,1396,10.225946383192774
3637,3330,5.755807930388313
2703,470,5.725536063095097
1353,2783,6.860536476882768
2831,357,7.602869299028326
3019,667,11.340609246780282
4468,1145,8.541356026147184
4185,3719,5.215092193635575
2745,539,7.201581177412401
2779,4964,5.51088053808253
4136,4835,5.558742641712166
3775,2508,10.117815159973508
2779,924,6.961342902426484
2956,1581,8.033543769498745
3324,4485,7.479144268403362
255,4804,4.847042448547704
1838,1944,9.170593362753479
9,2871,4.715900279290308
797,4972,7.397648920658504
1015,1824,6.756637516273799
4469,3136,8.92032030399536
2193,223,6.025304847894358
4948,4158,8.057800321940967
3925,4784,6.798624814432481
4000,1633,6.791426494644156
2152,510,1.8929261608834347
384,404,8.032376112092011
4613,4571,7.871700935421632
2000,2756,8.55757134775906
1668,1460,5.76953042517759
3636,2724,7.226722534016789
4809,4178,10.629063774894075
2048,4146,4.358116981816219
4780,716,6.584415829553883
4544,4976,10.079326140623797
4583,1823,9.960256703052746
2081,3419,9.729419623053982
1574,249,8.945972294513076
673,4533,7.499020657592988
2165,770,4.9620067741255625
3962,4363,9.609723884237098
1984,1077,6.011938506148821
235,388,8.327299000505153
3037,4858,11.89483600491732
1848,4719,7.4615687678737475
2814,3374,8.0404055506047
3278,1252,8.0561460567264
3981,4673,11.461844413853669
2122,4530,8.929453965000054
2150,4859,8.195238261415952
1329,1358,7.130331839477613
2482,4542,3.778738892696129
2017,1331,7.890247156377368
4344,4261,10.298363424302405
1358,4637,7.593080926498041
4854,3177,8.430874669095033
2128,2180,12.366175013946885
4892,137,8.044680188635065
3472,2832,7.443619799747928
3579,3031,9.508736628547199
4164,2593,10.987204493885086
4300,3818,6.995089273098637
4138,3823,8.696009158590943
4042,1906,8.184613804375594
760,3445,6.706058477938071
899,4455,8.612761124071664
2947,1719,6.22403932441931
280,3266,5.325349479596721
1887,3266,8.143496705908287
666,4188,7.8442959649152
671,1969,8.18497434476711
4156,3122,7.768369679666869
4699,4777,7.090826856653495
3900,523,8.840755338131224
2393,3117,6.517439448591141
2593,1968,8.060031404609099
1753,2296,7.4564607036752815
2261,2286,5.52732775779017
4202,2878,9.039371387877258
4143,3644,9.965208116258351
4432,2055,8.979927845022237
4720,1276,9.039794912063094
2766,302,6.169454224469935
638,55,5.477335318199719
4821,525,8.476875277782757
4569,4123,12.252388933243441
2125,3287,8.375223608982125
364,4621,6.974401657310983
4978,1646,10.702735094129999
918,2797,6.132325009993104
1531,3345,10.105338402125833
1906,3086,10.770506706550837
4580,2075,10.036902969518394
713,1062,6.528881948350412
1976,1296,6.034500488874164
125,4632,6.6879973114140245
3596,3283,6.951464962532878
1603,66,4.449836934923497
232,2156,6.03058141829322
1169,2158,8.080119317547801
4206,1493,8.037053301769596
4718,4007,9.189986360457786
2472,2660,8.060854846878197
2739,1761,7.204600007142378
3514,1975,5.880294104316966
2362,876,9.491737235582221
3812,3448,6.822918637606476
1312,1460,5.762076772788251
2709,2324,7.867244457604321
1733,1605,5.4322825060997895
2563,3421,7.694995837465681
3517,2397,8.258269676267254
3735,2870,6.087166130775446
1160,4854,8.291231107426036
242,2590,5.227188616853271
1063,4324,7.222532885539273
2595,919,8.386856726998403
5,467,2.632827381182925
4170,3,3.295654944861007
645,117,5.279429878374703
2928,2551,7.393934440204666
4289,846,8.131727629203931
2762,1141,10.146255585212947
1810,723,5.952554952463837
224,4627,9.606069242303183
4208,4654,9.580734825748774
2048,4749,9.07484787388571
4415,1573,7.467527422991046
1828,1917,7.956551419758224
4234,2026,10.321397235094798
3744,901,5.624050971330147
4785,2039,10.73557423979112
9,260,5.071405238668532
1673,2219,8.611769110592506
2060,3713,7.373005279991611
1619,320,6.411050784224902
1342,2376,8.741024697049387
2832,2824,8.106892839129387
1994,2958,9.135228263860597
2038,3490,7.893837420329326
3677,1118,7.589116325559514
1604,4027,5.9252024969214805
235,1969,8.234827325654342
4429,1908,5.979017229184621
375,3530,9.355101538971045
2635,1570,6.507621044105602
2560,3391,7.679030843825202
2965,3643,8.311408240228939
3850,872,7.288602203646722
1252,1314,8.097882599238302
4820,2898,3.7221669005646176
77,2621,3.6382541231932546
4227,600,8.78318598457069
1065,2136,7.743241556985832
2449,2343,5.962132679605737
1863,1318,8.925398385351821
4711,3597,7.580251647648857
3762,4670,5.5779603103318
2190,992,6.832912125503761
2712,2192,5.902112283233444
1248,3054,5.329093886593334
4598,4033,6.6754076273567335
1997,4916,9.22500647982588
3687,2151,8.571825635164544
4018,3110,10.667738963753333
1970,197,5.448613380911721
2626,1202,9.727267909942409
2035,477,5.600010887029333
1254,922,4.83308656128372
419,2204,6.51147093447257
2597,1120,9.93927028259435
3068,950,9.433889567234049
2336,2243,6.901486283025226
2645,1857,10.303896080255404
4612,1865,8.817234757860488
2912,2853,7.9831916399698635
4910,3228,8.0900163552074
3719,3228,7.265859814432081
2371,2891,6.391934908051365
3756,4225,8.178194265411165
94,2674,5.5229076514506055
1955,793,4.437612359937665
1834,2116,8.256078761042954
4106,3325,7.759135639121379
2919,2597,5.491263200528486
3205,4807,11.003874296155399
814,345,6.338346725565949
2349,362,4.350696254625544
2443,2265,8.590032800441895
2188,3005,6.247509812342575
3281,984,6.791067370571501
1639,827,4.685063166867096
2730,3531,10.592157642598949
4451,2935,7.059259556454539
3876,126,6.676049032477344
3177,3056,8.433188981538358
603,3449,4.525290726998239
4146,3533,6.005359398230899
3367,3368,9.95557681755081
3797,1792,9.364187985893238
2861,3476,8.119579558967052
3417,1645,5.717725861372062
1205,3030,8.842702006144707
2872,3072,7.3457625560965
1854,4021,9.228292513035797
4662,2708,10.41994953957403
3502,1332,7.001384590327239
201,3507,6.808311100214651
4212,574,5.464891557842451
536,1625,5.353679473678734
2122,385,7.39809596661749
3281,474,8.736832849508989
417,3600,5.846260977396575
954,4971,6.215263541158892
4858,1205,11.2445985124817
4759,4120,10.634909957106846
1990,4805,6.322489628149178
3572,4380,9.56100073222245
4158,4757,8.208458754855837
2713,2203,8.92640755288522
3120,966,9.366288984705267
4944,3432,9.024692109934547
688,4243,8.549792494133381
3701,341,4.361527316514918
1724,4422,9.513502752827955
1792,1759,5.808862039462887
3212,989,5.1488746933033624
2262,2482,6.171871427117345
951,722,5.21969942475149
3389,2079,7.013567862693044
2717,2332,6.693341928746474
3376,4524,8.325866468150842
1500,285,8.142933534135192
3495,2065,7.9750704851217575
768,3057,6.873273345537508
4289,2161,5.962875754596478
3293,946,8.612332914902384
4926,3335,5.4626477539319165
4150,4895,10.930167114388333
4873,1481,4.711234556946559
1901,3451,7.807951420755459
4064,54,4.0879396866353
1823,3462,8.036279398415958
3079,832,8.046972480829158
4408,2806,11.475083048477078
2490,327,5.129663343701693
3310,3300,6.801337533040551
3675,3054,7.911150084233995
2143,1311,9.471463302710315
3191,2538,4.938867066964471
3983,4547,8.678007500536609
164,4277,8.069495280759153
822,943,7.539975108007901
4425,774,4.53725140687438
2198,3156,8.67169776873371
4242,3695,6.545136045287673
3452,914,8.617531669577202
1308,4177,9.687146145558199
513,1920,7.554916343934195
3594,4841,5.056012198085593
1409,4802,7.46862270858399
4566,3190,8.885528223587864
4491,1555,5.908814271205422
804,1279,8.250558425784401
3577,2901,7.231593639179073
1387,4688,8.650065015373057
2761,2679,8.007622512810777
2106,4223,9.360410220465507
4831,2768,5.928497774461901
3953,3186,6.275265771777712
3280,2573,9.88935586449804
4616,2599,3.3044076116740757
4033,236,7.72020210046764
1304,3430,5.63081106463919
1301,2541,8.569579226622247
2051,441,7.284659286936261
2076,3180,6.056510891948756
2657,3798,9.29568965872169
804,74,6.710657280643723
2175,3924,8.54817372439455
2089,40,6.483072035662952
2081,4683,8.069543085696083
1622,341,2.788673185908881
4052,2074,8.06015248854449
645,4826,4.959730519885592
4263,609,4.065826991716834
454,2953,8.628151458848698
1708,3472,6.903555267643265
2969,3028,9.476432426854036
4797,2681,8.784443607134941
3629,4225,10.786070456944985
3067,1386,8.366800832234125
3776,2866,9.00486805506004
4788,3363,8.774930041838587
4889,4124,12.324083411256291
148,3850,8.539278752449604
2058,1136,8.628950762287461
186,2854,6.966218222520522
1250,1333,7.752385210190061
4193,4150,11.314562146712753
2711,4853,8.742301765458532
4501,1785,5.7420120469969955
750,1762,6.012972996668104
3920,4460,7.472082978634376
481,153,6.92425291752219
1524,2120,10.716443317717605
2343,1240,6.375787604311959
60,938,7.4168334820795065
1639,4120,6.668928907461169
4226,3569,9.663505398263773
1252,4203,10.224469750776153
171,1458,8.436211019460996
3549,4197,8.738182736603619
2322,1636,7.120707013903923
3115,4090,8.106945897446872
3004,329,6.022374454293742
3640,3894,7.23454399679248
4107,1341,9.318206595227354
3663,215,8.408210194351602
338,4062,9.1038559601118
2708,3152,10.580762263601224
1750,2421,8.030302141510514
709,3726,5.559455553235026
3642,3993,10.329753713906806
488,46,4.882279001920256
3359,4873,6.781362491792832
4806,400,5.616661417792414
3990,3157,6.899431433423205
4345,390,7.069776307227258
3853,4430,5.482314507818801
628,4232,8.465324331520158
2930,1521,9.072591089281751
826,4822,5.388905222072242
1500,3294,8.948823809105578
2419,934,10.848197599314721
3042,4497,6.253150463943177
1466,3561,8.449469513826898
614,1182,6.073807891924416
3223,2667,6.216932325108619
130,2983,7.742149772312278
4278,4459,9.514551055386956
38,3959,6.427116339564286
3587,920,8.677785237832357
2769,4111,8.785522235760368
492,1131,7.29954315264307
3521,310,7.715251742633068
738,3241,7.406427201615357
545,2461,7.608254424064197
4346,4854,8.752697318002006
1804,3212,5.837596907714174
3810,813,8.85227692999555
4124,2032,7.999243610430045
4572,4413,6.94097609817445
244,4843,5.124285232136879
4792,271,5.162125474352959
3511,1771,6.250452833947541
1262,2424,7.690078331901636
4361,920,8.968582849475059
3430,4435,9.232433306927271
4484,2624,8.180452458236255
3760,2050,7.653378403708854
3500,1165,7.601546358663137
375,2033,5.9656593473881925
145,4388,4.755867217392192
431,704,6.744470702560614
2632,4494,11.488531480704836
963,2234,6.648256950924409
2041,1828,7.174496362528471
2108,4068,6.059854952534993
938,4805,8.27162896907793
806,1463,9.056432290371214
3415,10,7.474084495131895
1868,4867,8.01810903297817
884,3564,7.225149098389003
1389,3401,8.941544731386387
4321,824,6.917353560863096
2265,936,10.629965934634647
2800,2553,7.876693425113803
3845,1796,7.972242782153085
53,726,6.727638239566528
2736,3170,6.969607047015905
1913,1596,9.586618790311967
1914,2466,9.211627826879397
2737,849,7.371842544767084
2109,2,2.6815677372921725
4255,4069,7.005792594432336
4876,892,8.479143646026731
2030,3160,8.301857649594842
2376,4675,9.782813761097708
1933,1380,7.706990674968196
3681,1290,7.284712473547776
1640,2682,4.820969073977567
987,1218,11.366950866932378
1355,4265,9.54372437788102
4616,4135,11.214513412728277
1560,1418,11.458889881312233
954,983,8.248084839235856
974,4133,8.334744131890577
3972,913,9.51919343603754
4549,36,6.164128633813641
3387,1711,9.087041859772816
3020,795,5.311010526555269
4036,4688,7.041406102279245
3111,1324,6.458550756831437
317,2396,3.8102277837053995
2162,2745,8.773527775581655
1591,3111,7.148959339202461
3930,1996,6.4467380039663995
1312,1285,7.078733330449111
4311,2383,6.981027476647695
3239,2139,8.518970977446653
1704,362,4.432731644411085
2604,1716,10.244721856687711
4451,4286,7.121410056633495
3738,2469,9.735414273627699
4795,556,9.160876917123217
825,2808,8.21693339931734
4521,2719,6.78552239802835
3508,3741,9.295103751911352
1574,3998,7.728640492949205
2129,2403,7.235827199232756
3329,588,7.577947430932433
2012,1547,5.57038669526211
294,1985,4.521703310034574
3117,1690,6.257667120297542
1136,2064,9.174155535629918
4455,4795,10.275514699065718
4543,4770,7.434126424339012
1007,2514,6.877535767145826
3526,4681,11.629415914726183
1247,3902,5.870733511888809
1435,571,7.53739308675746
2382,1245,7.15340906520679
2084,277,9.266706513712132
1887,4579,8.77792200351595
1265,4826,5.174529157754142
1040,917,7.591751928958635
885,2752,7.513398491584789
21,4569,4.384243000252764
3191,2353,6.991695428354029
4799,686,7.624197285307723
284,4811,6.201703661377676
3747,762,5.325367897802444
2428,2507,9.586638607484176
28,906,6.489747439274014
3104,3999,7.046155796602292
2994,2506,6.292305369247458
4665,3609,9.909094513753159
3553,1453,5.732090882451565
4833,3356,14.304339005364618
515,38,6.550359721324085
3342,886,5.977213546384671
2844,2204,8.712738055267831
1098,1823,8.080482544088017
3201,3155,8.387490327971618
3093,3530,12.347229766265556
3778,2896,10.46948347714154
3453,3511,5.565269103182695
988,4116,8.61978017241613
4964,4026,9.02531227440278
4179,1682,8.593183467625437
4665,3963,7.36162026462852
933,3598,7.364434665305727
3233,1980,6.180114799934602
1855,3056,6.291886439837499
792,791,8.262223017224986
1809,2255,10.914888044998797
3610,1607,8.257815017479846
984,3676,6.2218118323485
3380,519,8.75735004179873
590,1050,7.157913642222621
3633,4444,10.034023515539275
959,692,7.663528589532628
3899,4473,10.245562809514048
2946,526,8.489077754480183
3224,2253,9.387124467686304
3344,3965,11.010396051109023
1875,1763,7.151481404865891
520,1016,6.3374899613585045
116,2433,7.7782958128086666
583,394,4.424700795581943
3788,2768,9.454441201788388
4167,3860,11.890621630933634
273,2013,7.90820174635447
4433,1389,8.356089045866389
3566,4702,5.311472112315894
165,1567,7.187060180561239
728,2043,6.803086660099277
4197,3496,9.383826232148675
778,213,4.8074908724618135
3762,1576,4.741957320813894
2448,2936,7.124457778582304
3117,591,7.1062971626241485
2720,713,6.4439414118631255
935,4337,6.926832585649503
1,2848,6.208236770902703
4044,1949,11.047460790849149
917,3174,6.761714899829116
2241,89,6.402468088221181
1709,2169,10.043706677314347
4238,3041,6.765727602933266
105,886,7.9541670985046125
427,1895,10.356438249187194
316,634,7.023998482282893
1925,2056,10.258708989916508
3144,2270,8.265903826908858
1439,552,7.00598524394538
715,3911,6.00845996535738
1713,3389,8.486002820070789
1107,4206,8.981341710201832
250,2430,7.001821988785849
2054,458,6.393205762976983
207,899,7.617974549941318
3461,3385,10.418671190913848
21,409,5.163454435178513
894,514,6.883644782167126
4904,4969,11.382356169864368
4109,2134,8.95379539613489
3595,2956,7.845723054379259
1560,1266,7.264504176592974
2169,3638,7.588483697601357
749,3427,6.246559608645066
4780,1927,9.183318226276707
3804,3702,9.353306905712468
2356,4790,11.206792266217336
2335,306,8.033203524966211
3665,1989,8.233465574202455
661,4644,5.612149988734425
311,2920,7.9211450302411945
1082,2971,5.688056324232135
754,4130,5.946461825270099
4540,352,8.791227911201641
902,3888,7.581888488450786
158,1977,5.576997592567159
956,2071,7.384962698289037
403,4611,8.944342004391377
2779,1387,8.500120449817565
3453,955,7.333376984590105
1712,4703,8.708997516872966
1273,3811,7.752568662984868
2625,2382,9.000166150393273
1441,2979,10.823948606964937
1797,4390,10.360605777710996
4009,4850,10.649091641952971
1394,4281,10.625628786275083
1269,4732,5.152853797619794
3714,529,4.449822364650017
3623,2958,8.653775468378694
2914,4889,11.661552170024294
3591,2147,6.803341610778867
4573,3369,9.222460781509497
939,525,6.78858347088428
1,374,6.790851599456193
2340,4005,9.575125954013295
3052,4648,10.079563778778674
2365,1525,5.860028454568601
4476,1646,8.941159318953686
13,4599,5.974965241146221
2278,3155,7.757975422280188
129,3814,4.091798798292407
4933,3216,10.34608345845666
2938,3928,9.313994691748487
2040,27,7.094657722045236
2113,1252,6.922979433501362
4356,2046,6.974991712846442
4555,4023,5.7354702829914235
4396,3374,8.368899994683336
3466,3081,9.176833251607766
3778,629,9.394759986867955
269,2639,8.96901895310506
1993,2891,7.549198088302302
4957,3432,5.396174267255026
1280,2360,7.890705100626441
575,1307,6.802979947553764
3192,3178,7.426161771211057
2734,2212,6.446281628332382
2352,3568,9.457805294380693
1655,1579,6.782287187099138
2203,1390,7.524231571490492
1742,1925,7.411359733318353
619,1274,8.178007619052108
956,1939,9.726478632427604
3953,2381,5.6661999020593505
968,1316,5.916625353476993
1043,281,5.7305485339321365
2844,1058,9.868230156148622
4293,2532,8.827857710497412
3828,1008,5.820849149688787
1229,1035,7.947288321751103
4585,275,9.13214780338426
2740,2289,6.150399801273053
1239,125,6.03015851999536
4065,4312,7.370008739629323
3868,1208,7.296318774885868
3249,918,7.1280507792150445
3923,4403,10.020027368345282
1969,2793,8.435180124306136
891,4470,9.49272408939109
2033,1364,5.517597275720534
128,1014,6.653067808068465
1799,4612,9.335624782524276
1518,4181,10.608774233855632
1198,3873,4.4514774971234425
2474,3485,8.087071870743198
4049,3719,7.895213065144887
302,3952,5.067351719383026
4683,986,8.971113474449169
1863,4440,10.030231285505156
4909,3072,9.492462100342438
3124,1327,8.319492830124458
2408,3673,9.354448064436774
3291,4033,8.631764223159834
703,574,4.514357043978112
3232,4783,6.135346406063331
2632,3828,10.131699485459691
3230,488,9.7889917006704
1347,3681,9.642145542721318
3173,4589,8.607902600056036
1667,1637,8.95038294214693
4114,3553,7.1643507333852945
1000,850,3.9552338063373003
1388,3712,6.267230168338228
1367,821,10.24865126716372
454,1624,7.2776420055448625
2772,3726,8.34665034660219
3147,4089,8.833568977806905
4806,2190,6.367981833900631
916,3986,8.26732642524739
2875,1440,10.418250805522637
4400,735,10.044663057592695
3568,3338,9.833132437348638
3015,2889,6.967449306669524
961,2989,8.12014970711393
3848,1026,8.924084452403319
3865,2863,4.73633710429775
2501,1947,4.956795804541739
1177,4760,8.396931480208615
11,4399,7.02859631732485
3364,3022,9.464824836574113
3371,2830,5.103034635980327
42,943,4.9975600325809895
2390,2545,9.138610896423902
2411,4986,8.313700833184118
1004,20,5.372084750946421
406,1014,5.7655618102163135
4431,1838,7.076374458364037
3188,714,5.149036795692525
4146,3854,8.819216696893003
4419,4884,9.797804391995061
140,4565,6.655363269922991
4882,963,10.262005964575613
372,3635,9.472069708813477
2541,3610,8.417090636217038
1692,105,8.746424593455178
1681,4097,7.47347361877027
4016,2636,9.386262648240114
2137,3416,8.456799698309224
4445,3530,10.078867440974005
1286,3179,8.000110923871128
3654,2359,6.063924188402195
444,35,3.853209455703836
1475,3957,7.769028661406876
1798,1845,4.945093070215638
1408,1708,6.601373730983523
2938,1300,6.009856312709152
1243,3976,4.261936917347095
3097,4616,7.286591276788714
9,2425,6.38697752004441
1660,2631,6.234242388443806
4815,1072,6.446259756706439
3225,4954,8.032221898051255
1316,4145,8.198187549281679
3683,3273,6.522257463330467
145,3040,5.423074151228015
1462,4676,9.84837246846332
1584,482,4.43417220485836
3179,1249,8.059308601572836
4768,630,7.2714308933366025
661,3503,5.704771976711483
2852,2466,7.625537623974154
987,1546,7.743216545515235
649,968,2.7752244741108294
2637,1100,7.258564194768386
440,769,6.680710525944038
1343,4358,5.421429945423185
3729,3906,8.789275186328316
1577,4008,9.077494133465448
3351,4795,7.715730061929463
2349,3602,6.953910015407091
1241,1125,7.856477875266483
2601,1190,9.87708947671234
4131,4839,10.260216362012036
4448,72,8.548095429485267
1914,2472,8.053912130698665
3046,707,6.27476126781165
1804,3713,8.822069645018669
2564,2475,6.842724026633972
3610,4255,6.117424118085395
2823,1735,6.635093249050936
1585,66,5.806038903591239
3061,2428,7.447179304168436
4153,341,6.830867198027421
2774,2817,8.142106315421138
2661,1232,7.189873859741888
3874,2401,7.829705927374407
1494,4211,10.724701168239639
661,3883,8.097698556331823
3619,1868,8.196746612509621
2334,3374,6.269181899360122
