node_id,node_name,features
43,Node_43,"[0.579829576047725, 0.2825502675186389, 0.2790082903477966, 0.40496858737618846, 0.9987929358156545, 0.054966306839822066, 0.5785418182035315, 0.08257215803527718]"
44,Node_44,"[0.15452082999051897, 0.4395629417728987, 0.5104601313464413, 0.258792408364524, 0.3164571308744162, 0.08696702025593306, 0.3032197838442505, 0.9665584393805441]"
45,Node_45,"[0.9447073816724817, 0.334878290136985, 0.5708539362787616, 0.9095953911109443, 0.0061838226408966745, 0.8106835703375919, 0.948369552788919, 0.09132573433355706]"
46,Node_46,"[0.16144768603292103, 0.9607463027713554, 0.5375401436403463, 0.014196634471723701, 0.25763199876352916, 0.4499436742688596, 0.6929089110247677, 0.7331603781367996]"
47,Node_47,"[0.9954215129254561, 0.287511199383759, 0.5382201018684752, 0.533323547859605, 0.4056452594472375, 0.1691618938424202, 0.9774565631838426, 0.8533171866665861]"
48,Node_48,"[0.4983330282942372, 0.6032454226840298, 0.2272610535596623, 0.5437870703917469, 0.6949701331214758, 0.5151670283865888, 0.9902851705849413, 0.6113416562477262]"
49,Node_49,"[0.37097371259216905, 0.7721520276158381, 0.17046251158164205, 0.38451581370626653, 0.34695895037758584, 0.43180709510777726, 0.7817798259287263, 0.48417303216340746]"
50,Node_50,"[0.7940144502659627, 0.5764889031398659, 0.34206943465755535, 0.8099787436834724, 0.23828967055309158, 0.2243829797997955, 0.5045029240548358, 0.2608492459620889]"
51,Node_51,"[0.009087034951216322, 0.6482975272988015, 0.511093821472398, 0.4455178144931612, 0.9669685146183153, 0.5711991839629137, 0.8634315777893845, 0.13945023620516017]"
52,Node_52,"[0.5692064631294277, 0.8679796267309029, 0.583105757279898, 0.7180141781270015, 0.3720435678122074, 0.09244951703706661, 0.4579002951270714, 0.3944793908388575]"
53,Node_53,"[0.8670601823789473, 0.24399530235247224, 0.9667342275351081, 0.9581381198044961, 0.2476316430714387, 0.3480519554773205, 0.895555740873885, 0.9666222208961075]"
54,Node_54,"[0.44343910283604404, 0.3209970456408978, 0.526094013251542, 0.6877692063657348, 0.2734745153749798, 0.7364731746190728, 0.051657357114641034, 0.04929449276441644]"
55,Node_55,"[0.3862877051455452, 0.3534731920607206, 0.3156332153671523, 0.49101976266891, 0.32073358231157123, 0.19225791846809193, 0.3094695490886009, 0.974904272810235]"
56,Node_56,"[0.4111134169948486, 0.44471277685833577, 0.57654498995114, 0.9833407684142266, 0.241601276435763, 0.6812821105324338, 0.7159846935417241, 0.6073244167930659]"
57,Node_57,"[0.08857833963664408, 0.6768722758275765, 0.06409471103617548, 0.5961426495498969, 0.7395811772217427, 0.21096989061995042, 0.841622007542774, 0.030353805533004263]"
58,Node_58,"[0.8438128636583061, 0.4603290506427651, 0.2175879399316445, 0.133778144993968, 0.9533071675823725, 0.07266558758115671, 0.19909341993592566, 0.34782234743304596]"
59,Node_59,"[0.6202348489611205, 0.5448010852760984, 0.12564349241231398, 0.2897279837382146, 0.23875177108602408, 0.21354285449034138, 0.41114433647998705, 0.7040314525916569]"
60,Node_60,"[0.21745293221723594, 0.3666788797029814, 0.39091742684116226, 0.9764565294354102, 0.9546663568790689, 0.8001375827520759, 0.24165892081918516, 0.06803731409166969]"
61,Node_61,"[0.31690413772062476, 0.26679454943383085, 0.5059258001463939, 0.7777279100677931, 0.858322938878858, 0.8448640854105085, 0.35967556122306776, 0.6872343434606829]"
62,Node_62,"[0.31283419752422004, 0.06090554323518271, 0.7015652656029423, 0.009827552569787845, 0.40918258745848857, 0.32937926930207573, 0.6933775385188524, 0.7662454727603789]"
63,Node_63,"[0.30409463597128383, 0.8116270144448535, 0.29391676050493376, 0.4463263599865612, 0.7270185270141339, 0.6929202292247886, 0.9873684723122, 0.22516102421593187]"
64,Node_64,"[0.6623179135395824, 0.6096819082757774, 0.9150984544900299, 0.15636214164487505, 0.751798163586933, 0.5682686162687683, 0.2746658697879054, 0.4744349141471741]"
65,Node_65,"[0.3337765970697978, 0.5793134027884609, 0.8890006108146659, 0.569304984412202, 0.631722418326584, 0.5187478471147094, 0.051165506445475906, 0.23285855687609425]"
66,Node_66,"[0.49200172943208276, 0.31023528374470477, 0.18176359776119422, 0.5041328419184383, 0.3228097934478503, 0.2581076431734147, 0.4639854174403808, 0.13328425808217315]"
67,Node_67,"[0.9277457330754073, 0.867702097919239, 0.7076205857405353, 0.10621382758845621, 0.775877254469693, 0.807957328109019, 0.7677646177143377, 0.11396588711924116]"
68,Node_68,"[0.6439079570677647, 0.8343247957493986, 0.5773534012196677, 0.646407375228089, 0.4583634794263062, 0.5287073198840526, 0.034376858351725215, 0.6389630219732846]"
69,Node_69,"[0.08144721289115919, 0.4350145943402234, 0.2926550976674078, 0.5454279502117131, 0.13341633552320709, 0.6916434019733182, 0.7950115369284704, 0.1633544497431565]"
70,Node_70,"[0.10431308735188216, 0.14551548278735915, 0.8771275618985017, 0.5281892617563562, 0.4672609960075026, 0.10671181910235428, 0.6495560067569618, 0.8679995918950899]"
71,Node_71,"[0.828185869323453, 0.6260547089808013, 0.07527871665167363, 0.11239702717601296, 0.049308987109824676, 0.2574792164924693, 0.13566146716037775, 0.2600480402524339]"
72,Node_72,"[0.3850580557189617, 0.9429827840711357, 0.6103760597816921, 0.8349737856829623, 0.7103515007123322, 0.11250313052663174, 0.7359204063739488, 0.27509888155912443]"
73,Node_73,"[0.6391078469947064, 0.3409619736429885, 0.9976722632646592, 0.2635514794967778, 0.27913047077426967, 0.9306722555623983, 0.02464440463632267, 0.6966889878731969]"
74,Node_74,"[0.7253263907358781, 0.8363785774103993, 0.9744393106384753, 0.9756019191566524, 0.0652767575664639, 0.8218393227529025, 0.6463099336573813, 0.6473421343730912]"
75,Node_75,"[0.1283499266146948, 0.6501871664456533, 0.9824825806012478, 0.911818569539447, 0.4391306608048505, 0.03994797328609434, 0.36229349000020483, 0.8263903116005552]"
76,Node_76,"[0.701499101465166, 0.4593436555939564, 0.055101535158831094, 0.4268947278233026, 0.4690249397178835, 0.928555532894136, 0.6410861035821595, 0.3116529166546489]"
77,Node_77,"[0.5253182644507214, 0.06605530782216007, 0.9725682356497368, 0.360059901930726, 0.4778673549131358, 0.3552839742369226, 0.6825117301162001, 0.662232158329593]"
78,Node_78,"[0.7153223105291356, 0.26814322961192083, 0.315668481164066, 0.12525123109620795, 0.6555099718461126, 0.03979712733565255, 0.5976823355234591, 0.8696958848516338]"
79,Node_79,"[0.8908321482896335, 0.4490377603699617, 0.45930368821307377, 0.07696918300801736, 0.6707650254430357, 0.8212594203728455, 0.24465505460471304, 0.42130088163336465]"
80,Node_80,"[0.8388393367652703, 0.877120467662288, 0.24317998026422594, 0.5505706345413642, 0.19249315063582706, 0.10187876413955654, 0.9111205013919575, 0.8205075042321092]"
81,Node_81,"[0.7600349018031739, 0.04876631881314042, 0.8437287927102575, 0.43804407590538375, 0.34239512329585964, 0.5464763610253764, 0.09135324272355583, 0.7566465493523988]"
82,Node_82,"[0.5824350768882959, 0.18659009687316752, 0.1882321997690456, 0.18424865157267423, 0.057002387551933986, 0.5877984493716848, 0.8403481775885081, 0.0174982139873886]"
83,Node_83,"[0.04900464497127355, 0.5727702766869458, 0.8194956853860523, 0.3267388905686336, 0.34961439880772216, 0.5963464974967759, 0.274212889124147, 0.02660836607768413]"
84,Node_84,"[0.7352285181015961, 0.6256499129414531, 0.5807559990556591, 0.7416841289918231, 0.6752308375620375, 0.20588198817832115, 0.35248104694335114, 0.126110141678625]"
85,Node_85,"[0.12985701341788103, 0.6761957463565392, 0.8586001069824982, 0.962732583861139, 0.6283471175494444, 0.18410132336095697, 0.1056503454489307, 0.8128509715367578]"
86,Node_86,"[0.5787564763599993, 0.6182850210137198, 0.7814620887547092, 0.7032772277324516, 0.8344582528560966, 0.05621390545987848, 0.7475206367465048, 0.8508527573220954]"
87,Node_87,"[0.28613504245831434, 0.6404472739932529, 0.3141620638369721, 0.957971066482454, 0.03342357243550376, 0.579792843832955, 0.1665035470495151, 0.7122202051771587]"
88,Node_88,"[0.17589028341866209, 0.23538326189835757, 0.4943708110457581, 0.9148349499968781, 0.21171437214797084, 0.14424002111810352, 0.7589768318540306, 0.500619532333931]"
89,Node_89,"[0.9117851123817714, 0.14661455715984228, 0.6459278930230393, 0.23287914615181504, 0.1567604286516393, 0.6834294151572705, 0.5936846199087332, 0.7548274583623312]"
90,Node_90,"[0.30946257644618236, 0.44797165638218994, 0.4054716763304185, 0.9840894639665142, 0.2922489567393879, 0.2948172383467669, 0.3545482088286074, 0.5645940812903215]"
91,Node_91,"[0.25232274426374524, 0.9152899403792739, 0.2656855648662635, 0.8958157315601947, 0.10347506364658465, 0.6565627023996523, 0.9069855184382437, 0.16874943839822953]"
92,Node_92,"[0.968326960099255, 0.4528833604155117, 0.9457151084410245, 0.676820043630047, 0.30158686987355154, 0.18830252491710642, 0.3037350462250994, 0.09301740926267499]"
93,Node_93,"[0.14386796634332977, 0.10466044034648114, 0.42294354374155774, 0.7955783762575864, 0.1413835542163402, 0.13032043317233588, 0.6434289495173308, 0.19718298196806627]"
94,Node_94,"[0.0976100381089916, 0.16684857820557764, 0.9237313958767761, 0.8214712527761908, 0.3540645623550941, 0.6558207673273928, 0.5372756736680381, 0.6771242634825639]"
95,Node_95,"[0.6826711524627593, 0.6287340150599929, 0.2661013685373086, 0.03900642076281813, 0.4555667819901088, 0.8909738846907038, 0.5694972585185759, 0.8323910417019079]"
96,Node_96,"[0.9916243429612281, 0.16361620413827627, 0.6917776391419823, 0.6742935737000246, 0.9799554473582784, 0.9856007339528003, 0.6866786117241295, 0.24361479198219427]"
97,Node_97,"[0.798555838130599, 0.1070291342110381, 0.7806993041716287, 0.9101961241446964, 0.38283339476843525, 0.6306352949830805, 0.4301427320968263, 0.43776505498812845]"
98,Node_98,"[0.31037088910812005, 0.7621296204503246, 0.9361765641665052, 0.9407508592344611, 0.17478128487493383, 0.874743649656566, 0.7374314414271221, 0.25283740069028926]"
99,Node_99,"[0.06728461292151455, 0.26799726688437797, 0.9122082367815256, 0.6331786748957723, 0.7210546608978718, 0.25715235110909584, 0.7193881555748203, 0.028121506277923758]"
100,Node_100,"[0.3753213457730138, 0.6267533485423312, 0.14609656554132022, 0.8230035744469347, 0.23503129881191864, 0.6522811128184463, 0.4051971425753297, 0.5960435954776472]"
101,Node_101,"[0.10745055262890812, 0.016912799921607324, 0.9095644273803012, 0.2696300087671828, 0.8196770027804591, 0.9993503004722002, 0.21143125799891116, 0.2651707411833556]"
102,Node_102,"[0.6628597876346657, 0.9654486346006212, 0.9158143481907439, 0.5028755200655849, 0.7951102825267247, 0.13574585309990106, 0.9774381842040123, 0.9643532340359865]"
103,Node_103,"[0.16372895787917097, 0.2994231248031066, 0.10015499750676693, 0.2717175988981797, 0.8159557894152066, 0.37831560716525947, 0.08839696714675838, 0.34222552477890456]"
104,Node_104,"[0.9813833342412801, 0.6296835952592029, 0.41616094640615775, 0.16653851349727, 0.9861767972836948, 0.8208490092631288, 0.2814773024509194, 0.07006869572118946]"
105,Node_105,"[0.05662555737755803, 0.12037814950553383, 0.5807685836144216, 0.9287634212054924, 0.4967434280059845, 0.8429454824561972, 0.4458866198598078, 0.7085835457678252]"
106,Node_106,"[0.7318727372865008, 0.17396370590333865, 0.36121605897581177, 0.6373021565380239, 0.07069660818436618, 0.3615401877629566, 0.5347994662811925, 0.9962244930446387]"
107,Node_107,"[0.47453356262244073, 0.8160567571143236, 0.43206728506661773, 0.7963907226197089, 0.5954148016201084, 0.8865954415023983, 0.4109425523501099, 0.6043044198214789]"
108,Node_108,"[0.6300186806188274, 0.4173829418004733, 0.14431204368748152, 0.09355940691233555, 0.0166715505996331, 0.8735342642452146, 0.23647491223869455, 0.21150674928176805]"
109,Node_109,"[0.7360354004260655, 0.32001611308739175, 0.5060446924118366, 0.1625110652974563, 0.9597457214619692, 0.8515814000172374, 0.8637896229650033, 0.4067737485720052]"
110,Node_110,"[0.7623612137071728, 0.14387615538978016, 0.008619002591780278, 0.019972932578028124, 0.5866017374045605, 0.4553949052479408, 0.5180153489085197, 0.007463140417219405]"
111,Node_111,"[0.4226866196574257, 0.7180681612008608, 0.44269370196743585, 0.7322192063122223, 0.23301896439683478, 0.8131420044817255, 0.5884312404534523, 0.21076309942990623]"
112,Node_112,"[0.23672047585383293, 0.628030464569537, 0.8299395932124434, 0.4156277820291552, 0.2583004291275922, 0.8670116069106004, 0.6692682917508349, 0.4480854872830765]"
113,Node_113,"[0.48790019527930184, 0.2042564679363964, 0.6268026300648439, 0.35874251054288864, 0.9956451766743493, 0.48018351526188785, 0.4858856061896132, 0.5658517874106719]"
114,Node_114,"[0.9167560031187467, 0.8008180998597503, 0.4511300697978414, 0.718699265972796, 0.5862354987807616, 0.4923670487012489, 0.19231577278435052, 0.4639362634548909]"
115,Node_115,"[0.24581858702257464, 0.9148421498516547, 0.33540681349634693, 0.9522640145333723, 0.5330552900947112, 0.6315443786761603, 0.5429404444893278, 0.1293806169667009]"
116,Node_116,"[0.37582121900794097, 0.09914611227762393, 0.6229540441833817, 0.4468741952004389, 0.7779849715709368, 0.22047048099936983, 0.16456605842933492, 0.4063322309637678]"
117,Node_117,"[0.9265853832183811, 0.7104218150124118, 0.41892362479291867, 0.5172721697543106, 0.08421301117709834, 0.9845758963761131, 0.6664073046949189, 0.2854040684634225]"
118,Node_118,"[0.5858083942152443, 0.10948236606899397, 0.9658366688075836, 0.17478498788336594, 0.6480303180552142, 0.24545446253893044, 0.7175613826485358, 0.7768213672402811]"
119,Node_119,"[0.6734197289114326, 0.6144994602551925, 0.8924690939520117, 0.07862671098975804, 0.3309147657801952, 0.24828747963084596, 0.9880139620654216, 0.3893897796668735]"
120,Node_120,"[0.7326126992403987, 0.6847251638810046, 0.21208123747737773, 0.23899768021155132, 0.2812845635530341, 0.4111272782593792, 0.2343250656505268, 0.019651482746847804]"
121,Node_121,"[0.8793930568071955, 0.9656098313808841, 0.34157038703156795, 0.33850687942547286, 0.007091812774370987, 0.680250688330374, 0.8254398957486287, 0.14660830036000316]"
122,Node_122,"[0.15966634936715074, 0.7900832499714378, 0.6162907483541447, 0.04486055762771701, 0.6225469904622817, 0.30891772284376606, 0.36872515547084594, 0.7697314182968802]"
123,Node_123,"[0.8109351926726106, 0.40035662683983064, 0.9471529360063548, 0.40646271795207223, 0.7718360352301099, 0.48387726456425906, 0.897532326522084, 0.9077612436501786]"
124,Node_124,"[0.08741680787108386, 0.9364933313102257, 0.8255348415204157, 0.7913107143126669, 0.20091133968552244, 0.8051192087546649, 0.8501327346850368, 0.28915033445415095]"
125,Node_125,"[0.9522600783623237, 0.04986014639916425, 0.14990925324713966, 0.5375811380515143, 0.5757924711223097, 0.6451500833009034, 0.016969129315466458, 0.9603667746221303]"
126,Node_126,"[0.04458809273414399, 0.14306195272340239, 0.01401451752605698, 0.5668584332940947, 0.9322668839209722, 0.6659471660804642, 0.8226574684804273, 0.013281203458580082]"
127,Node_127,"[0.5420152984797261, 0.4595629775055219, 0.49896794422079305, 0.07221318533518795, 0.6844353610693075, 0.5032204148586344, 0.765148849861264, 0.48529063406171535]"
128,Node_128,"[0.14938163622643208, 0.648256954077822, 0.17238636210516622, 0.8723945633548149, 0.6131162390692415, 0.15720388355695425, 0.9623380574812068, 0.5183654633353206]"
129,Node_129,"[0.072898451871655, 0.6268329044150672, 0.2531989070128102, 0.8036934518773025, 0.8178220735661906, 0.9789473558546619, 0.5018695310245037, 0.45495687972773713]"
130,Node_130,"[0.7534756054464806, 0.13247065634192656, 0.5469155137931242, 0.5462476001308509, 0.08947312281038722, 0.41798408550691357, 0.853284798567202, 0.8561536219946603]"
131,Node_131,"[0.099237664919681, 0.09072088274783086, 0.2626954770019353, 0.8747660625539935, 0.12890258507349894, 0.7199968026274463, 0.10116561961310322, 0.6231378537478254]"
132,Node_132,"[0.3560672991191448, 0.788913962965867, 0.2336904488253636, 0.6392018293899598, 0.23568253457588495, 0.7136602831121538, 0.8736780345607488, 0.12680179912676004]"
133,Node_133,"[0.8665956885955035, 0.5935752544142979, 0.12711049086702397, 0.427541855359712, 0.1608602934850979, 0.7003478888665695, 0.7588681344179496, 0.10579652027279896]"
134,Node_134,"[0.5061398526946443, 0.8146250560259172, 0.9361630415509965, 0.51351786674177, 0.950279223611407, 0.5356889704560298, 0.39419049459990796, 0.8482031285528955]"
135,Node_135,"[0.49298271045808906, 0.47190251056452304, 0.4903124894098283, 0.8467850018697454, 0.8319415416880521, 0.4035199924402112, 0.333299859870525, 0.4919280240391293]"
136,Node_136,"[0.572772509737109, 0.23833721062799695, 0.7939550847155906, 0.4864827657324229, 0.3340455484199596, 0.10682099296399061, 0.23884516040360693, 0.9492811717559837]"
137,Node_137,"[0.3050996868195266, 0.16885928936703531, 0.4606727916549932, 0.3070877433602487, 0.035159250271194153, 0.32314521727941725, 0.5441086239394686, 0.5517123720199669]"
138,Node_138,"[0.3565589211768887, 0.44730275625260063, 0.9655179182347664, 0.3773484772303116, 0.258226813259983, 0.24346704406676012, 0.45776461270413416, 0.7595201487169441]"
139,Node_139,"[0.2059881841884732, 0.7092961271407681, 0.021149823349416286, 0.418932977983946, 0.7758650652027869, 0.3387329557744314, 0.5637371014453995, 0.2049792328259108]"
140,Node_140,"[0.7419953911261723, 0.05227910326875962, 0.8525426448755004, 0.19819638642166815, 0.8743980317083307, 0.3525292413005173, 0.7226835744744866, 0.31922529778618847]"
141,Node_141,"[0.9059116712346476, 0.12663712551837436, 0.1785197892725987, 0.4930301251588023, 0.08193843903814613, 0.19598018470176193, 0.9437663822120144, 0.9764896611478872]"
142,Node_142,"[0.37625932933042194, 0.9232860210139356, 0.5448246756734317, 0.26974246587376705, 0.7023987210805986, 0.6589018065748572, 0.9891253191087334, 0.2650472874092833]"
143,Node_143,"[0.6720595026617354, 0.052023755029446894, 0.11364603869671941, 0.003918374951093262, 0.9994606810596731, 0.8022736971474778, 0.7867230147335408, 0.5097260752881797]"
144,Node_144,"[0.30006708290543993, 0.15126428446267592, 0.28467473884646366, 0.3759712219291391, 0.756310096980294, 0.5396617889031524, 0.07748362655548269, 0.01802900895891224]"
145,Node_145,"[0.10233217953406315, 0.41049871369737934, 0.9331929170490183, 0.6374024812092216, 0.8018258998755151, 0.46637459450454855, 0.3616660831950428, 0.10840037271662273]"
146,Node_146,"[0.875933022186205, 0.7831600290279028, 0.1681180975977251, 0.5122605638762605, 0.4873748079212449, 0.6250915526865286, 0.9461868939912612, 0.5797714417624796]"
147,Node_147,"[0.5402172667786186, 0.050322932934663944, 0.06290747601802393, 0.1873467913267889, 0.03247077169174828, 0.7433528955700124, 0.7233303039939631, 0.13605623443164294]"
148,Node_148,"[0.8360789007952809, 0.15478603484611198, 0.3011755869973588, 0.248976899161365, 0.3723070985730478, 0.25466376588996187, 0.48895092643845206, 0.4074078813546854]"
149,Node_149,"[0.9865694907793265, 0.055926350128225666, 0.14218137638735162, 0.052825893908602484, 0.6258411949823758, 0.05450927741371958, 0.8364397373761233, 0.5119386306819278]"
150,Node_150,"[0.5270076245815337, 0.5615945077121942, 0.17081370630621073, 0.19769030311448754, 0.3188173228730047, 0.5934964158218514, 0.21011777594021452, 0.11633172713326123]"
151,Node_151,"[0.9701168864184322, 0.021981814809622913, 0.8026974053360216, 0.7880351495750221, 0.297214113845096, 0.1356266160073134, 0.14562864670542341, 0.6974316172371925]"
152,Node_152,"[0.6428065910861737, 0.7827456742513867, 0.9374811723991047, 0.691927363266592, 0.15585153655144346, 0.24344261676541068, 0.8421937308731146, 0.20930607583420857]"
153,Node_153,"[0.07252231695448141, 0.7032800540422505, 0.40252635549014204, 0.9200400525459036, 0.6502550710936615, 0.09041897779166075, 0.9478565672536607, 0.2585572636402459]"
154,Node_154,"[0.33721249040628576, 0.40226041368354204, 0.05122429640431325, 0.49651542223060485, 0.12331849107529225, 0.40097032668835175, 0.3507097879920843, 0.7728400834265033]"
155,Node_155,"[0.8031705116327311, 0.153412882389088, 0.3665511873792262, 0.3733531610318317, 0.15141044393608505, 0.7984535050511905, 0.7072283283354233, 0.19038178629703473]"
