source,target,shortest_path,path_cost,num_hops
4573,4574,"[4573, 3729, 1627, 2647, 4574]",7.888408934549787,4
3225,2095,"[3225, 2063, 4, 253, 2095]",8.002424303770393,4
1848,1092,"[1848, 4, 1006, 759, 5, 1092]",6.686175928649149,5
1197,2600,"[1197, 525, 208, 362, 56, 760, 1105, 2600]",10.548306111442567,7
106,2827,"[106, 3211, 70, 3316, 2827]",5.7712503085830615,4
2318,212,"[2318, 3336, 6, 199, 212]",8.063344456078488,4
356,4816,"[356, 10, 246, 161, 7, 582, 4816]",6.23070431710562,6
2038,925,"[2038, 175, 26, 301, 639, 925]",6.071163022406686,5
1179,4904,"[1179, 344, 6, 2641, 402, 110, 4904]",10.298897208624753,6
1920,1086,"[1920, 2453, 1614, 1057, 3347, 3133, 887, 2979, 1086]",8.702272005314331,8
3490,3503,"[3490, 1135, 291, 99, 56, 4, 9, 922, 3503]",8.5175674458657,8
2538,147,"[2538, 64, 7, 0, 94, 1837, 147]",6.397092776318012,6
1868,2526,"[1868, 79, 5, 343, 8, 756, 2526]",6.4918639671956315,6
2213,2070,"[2213, 1130, 1283, 70, 1255, 2070]",9.022928752882056,5
907,3333,"[907, 227, 7, 6, 3333]",5.449930092741489,4
4614,2317,"[4614, 0, 213, 2097, 2317]",3.6768965714398645,4
4111,3821,"[4111, 3824, 5, 44, 110, 42, 3711, 3821]",9.360643292415025,7
3345,220,"[3345, 592, 3, 294, 220]",7.505396419362412,4
3352,2610,"[3352, 49, 7, 64, 931, 2610]",9.605341199171987,5
4913,3732,"[4913, 338, 171, 262, 2938, 3732]",10.053397558539563,5
574,2586,"[574, 64, 7, 0, 21, 2586]",3.7267113529783953,5
4249,1298,"[4249, 104, 5, 4064, 312, 23, 1298]",9.737616840856317,6
3296,57,"[3296, 0, 21, 4, 9, 57]",5.5805945324135555,5
4858,2287,"[4858, 183, 1245, 6, 2242, 2287]",11.577133682088329,5
1523,2446,"[1523, 7, 0, 213, 2097, 2317, 2446]",5.490207141130941,6
4076,4545,"[4076, 773, 4, 21, 69, 4545]",10.168338488360865,5
3280,2478,"[3280, 2161, 49, 389, 9, 1124, 2478]",10.035701390258875,6
2093,2031,"[2093, 38, 5, 529, 262, 171, 2031]",8.497595401686816,6
1738,1094,"[1738, 0, 7, 1527, 238, 1094]",7.947775848446751,5
4663,2179,"[4663, 2099, 331, 14, 1471, 2179]",7.6212628044667206,5
857,4980,"[857, 340, 7, 111, 4, 133, 4980]",5.136070657439044,6
2895,1605,"[2895, 1166, 443, 4628, 2258, 4, 933, 1605]",8.52093955248277,7
1568,3854,"[1568, 574, 64, 7, 25, 720, 3854]",9.770650765270853,6
2835,3531,"[2835, 95, 10, 351, 26, 2631, 441, 3531]",8.350754014858188,7
2942,4183,"[2942, 2598, 12, 15, 7, 445, 274, 4183]",8.510280007381054,7
4192,4845,"[4192, 2774, 97, 2049, 887, 197, 4845]",11.722173235308386,6
523,2318,"[523, 272, 8, 6, 3336, 2318]",6.188372504875768,5
4795,4679,"[4795, 3244, 1859, 34, 3611, 47, 531, 4679]",9.753258739790917,7
4122,3172,"[4122, 2, 4, 111, 7, 3172]",3.7433674311397898,5
692,3066,"[692, 52, 1491, 113, 4, 9, 3066]",6.944306291155533,6
550,2322,"[550, 443, 2279, 2322]",3.16111349294127,3
4724,13,"[4724, 666, 13]",4.122488489446637,2
3398,1953,"[3398, 356, 10, 2173, 91, 370, 191, 799, 1953]",10.166405303355411,8
2775,1660,"[2775, 7, 111, 4, 133, 207, 1660]",7.185336454184442,6
4888,1448,"[4888, 419, 349, 240, 11, 5, 1448]",7.542522711726692,6
3889,4206,"[3889, 1988, 1363, 1264, 975, 4206]",6.183994691472092,5
3662,322,"[3662, 1409, 5, 4702, 322]",9.11241032801024,4
867,870,"[867, 4526, 1956, 4275, 4463, 8, 1, 32, 870]",8.014801398345718,8
